Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,..,32526562,31627506,30682500,29726803,28809167,27962207,27207291,26528741,25877544,25183615,24399948,23499850,22507368,21487079,20531160,19701940,19038420,18511480,18034130,17481800,16772522,15869967,14824371,13745630,12789374,12067570,11608351,11375768,11337932,11438949,11630498,11912510,12279095,12667001,12996923,13211412,13283279,13222547,13056499,12831361,12582954,12315553,12022514,11716896,11412821,11121097,10849510,10599790,10368600
"Population, total",SP.POP.TOTL,Albania,ALB,..,2889167,2893654,2896652,2900247,2904780,2913021,2927519,2947314,2970017,2992547,3011487,3026939,3039616,3051010,3060173,3089027,3108778,3128530,3148281,3168033,3187784,3207536,3227287,3247039,3266790,3286542,3227943,3142336,3083605,3022635,2964762,2904429,2843960,2784278,2726056,2671997,2617832,2566266,2513546,2458526,2404831,2350124,2296752,2243126,2187853,2135479,2081695,2022272,1965598
"Population, total",SP.POP.TOTL,Algeria,DZA,..,39666519,38934334,38186135,37439427,36717132,36036159,35401790,34811059,34261971,33749328,33267887,32817225,32394886,31990387,31590320,31183658,30766551,30336880,29887717,29411839,28904300,28362015,27785977,27180921,26554277,25912364,25257671,24591493,23917889,23241276,22565908,21893857,21228288,20575701,19943667,19337723,18760761,18212331,17690184,17190236,16709098,16247113,15804428,15377095,14960111,14550033,14144437,13744383,13354197
"Population, total",SP.POP.TOTL,American Samoa,ASM,..,55538,55434,55302,55227,55316,55636,56226,57031,57904,58648,59117,59262,59117,58729,58176,57522,56768,55899,54942,53926,52874,51807,50725,49597,48379,47044,45591,44049,42448,40835,39247,37687,36165,34740,33488,32456,31670,31105,30690,30325,29932,29491,29014,28490,27916,27292,26615,25886,25116
"Population, total",SP.POP.TOTL,Andorra,ADO,..,70473,72786,75902,79316,82326,84419,85474,85616,84878,83373,81223,78337,74783,71046,67770,65399,64161,63888,64147,64291,63854,62707,61003,58904,56674,54511,52449,50431,48458,46515,44597,42704,40862,39112,37502,36063,34819,33746,32769,31781,30706,29514,28231,26892,25560,24279,23061,21888,20755
"Population, total",SP.POP.TOTL,Angola,AGO,..,25021974,24227524,23448202,22685632,21942296,21219954,20520103,19842251,19183907,18541467,17912942,17295500,16691395,16109696,15562791,15058638,14601983,14187710,13801868,13424813,13042666,12648483,12246786,11848971,11472173,11127870,10820992,10544904,10285712,10023700,9745209,9444918,9128655,8807511,8497950,8211950,7952882,7717139,7501320,7299508,7107334,6923749,6750215,6587647,6437645,6300969,6177703,6066094,5962831
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,..,91818,90900,89985,89069,88152,87233,86300,85350,84397,83467,82565,81718,80904,80030,78972,77648,76041,74206,72232,70245,68349,66550,64868,63434,62412,61906,61967,62538,63484,64605,65744,66863,67958,68950,69750,70301,70553,70508,70223,69782,69253,68655,67972,67205,66338,65369,64307,63176,62002
"Population, total",SP.POP.TOTL,Argentina,ARG,..,43416755,42980026,42538304,42095224,41655616,41222875,40798641,40381860,39969903,39558750,39145491,38728778,38309475,37889443,37471535,37057453,36648054,36241578,35833965,35419683,34994818,34558114,34110912,33655149,33193920,32729740,32263559,31795515,31326473,30857242,30388781,29920907,29454739,28993989,28543366,28105889,27684530,27277742,26878567,26477153,26066975,25644505,25213388,24782950,24366442,23973062,23605992,23261273,22932201
"Population, total",SP.POP.TOTL,Armenia,ARM,..,3017712,3006154,2992192,2978339,2967984,2963496,2966108,2975029,2988117,3002161,3014917,3025982,3036420,3047249,3060036,3076098,3093820,3112958,3137652,3173425,3223173,3289943,3369673,3449497,3511912,3544695,3542720,3510439,3457054,3396511,3339147,3287588,3239212,3192877,3145885,3096298,3044564,2991954,2938181,2882831,2825650,2766495,2705584,2643464,2580894,2518408,2456370,2394635,2332624
"Population, total",SP.POP.TOTL,Aruba,ABW,..,103889,103441,102921,102393,101936,101597,101416,101342,101218,100830,100031,98742,97015,94995,92894,90858,89004,87276,85447,83195,80326,76700,72498,68235,64623,62148,61032,61077,61835,62644,63028,62831,62204,61344,60567,60096,59978,60106,60366,60589,60655,60525,60239,59849,59438,59065,58724,58385,58049
